directory,name of file,Data Source,number of procedure,name of stored procedures,number of Queries
FEM,FEM Granted Roles.rdl, trnBPM,5, FEM_ruspGrantedRoles FEM_ruspGetCostCenters FEM_ruspGetMepCodes FEM_ruspGetRoles FEM_ruspGetSegments,0
FEM,FEM Request Summary.rdl, trnBPM,5, FEM_ruspRequestSummary FEM_ruspGetCostCenters FEM_ruspGetMepCodes FEM_ruspGetSegments FEM_ruspGetStatuses,0
GTR,GTR Granted Roles Report.rdl, eBPM,0,,7
GTR,GTR Status Report.rdl, eBPM,0,,9
Hedge,Hedge Granted Roles.rdl, trnBPM,5, HDG_ruspGrantedRoles HDG_ruspGetBusinessUnits HDG_ruspGetMepCodes HDG_ruspGetRoles uspGetReportHeaderImage,0
Hedge,Hedge Status Report.rdl, EBPM_DWH,1, HDG_ruspStatusReport,0
IAA,IAADetailedReport.rdl, TrnEBPM_QA,1, IAA_uspDetailedReport,10
IAA,IAATransactionLogReport.rdl, TrnEBPM_QA,1, IAA_uspTransactionLogReport,6
IAA,IAA_StatusReport.rdl, TrnEBPM_QA,1, IAA_uspGetStatusReport,11
ICV,DetailedReport.rdl, trnBPM,1, ICV_uspDetailedReport,0
ICV,HistoricalDetailedReport.rdl, ICV,1, ICV_uspDetailedReport,6
ICV,HistoricalGrantedRoles.rdl, ICV,1, ICV_uspGrantedRolesReport,2
ICV,HistoricalMEPValidation.rdl, ICV,4, ICV_uspMEPValidationReportGral ICV_uspMEPValidationReportAccounts ICV_uspMEPValidationReportBP ICV_uspMEPValidationReportApprovers,1
ICV,HistoricalStatusReport.rdl, ICV,1, ICV_uspStatusReport,4
ICV,ICV Attachment Hyperlink.rdl, trnBPM,1, ICV_uspAttachmentReport,3
ICV,ICV_GrantedRolesReport.rdl, trnBPM,0,,1
ICV,ICV_StatusReport.rdl, trnBPM,1, ICV_uspGetStatusReport,0
ICV,MEPValidation.rdl, trnBPM,4, ICV_uspMEPValidationReportGral ICV_uspMEPValidationReportAccounts ICV_uspMEPValidationReportBP ICV_uspMEPValidationReportApprovers,1
MRF,ABS.rdl, eBPM_DWH,1, MRF_ruspABS,0
MRF,Approval Matrix.rdl, trnBPM,4, ruspGetReportHeaderImage MRF_ruspGetCompanies MRF_ruspGetMepCodes MRF_ruspApprovalMatrix,0
MRF,Request Details.rdl, eBPM_DWH,1, MRF_ruspRequestDetails,0
MRF,Triangular - Bilateral.rdl, eBPM_DWH,1, MRF_ruspTriangularBilateral,0
PFA,All Details Report - History.rdl, trnBPM,1, PFA_ruspAllDetailsHistoryReport,0
PFA,All Details Report - Parts.rdl, trnBPM,1, PFA_ruspAllDetailsPartsReport,0
PFA,All Details Report.rdl, trnBPM,1, PFA_ruspAllDetailsReport,0
PFA,Annual Collection Detail Report.rdl, EBPM_DWH,1, PFA_ruspAnnualCollectionReportDetail,0
PFA,Anual Collection Report.rdl, EBPM_DWH,1, PFA_ruspAnnualCollectionReport,0
PFA,CMT Analysis.rdl, EBPM_DWH,1, PFA_ruspPFA_CMTAnalysis,0
PFA,Collection Report.rdl, EBPM_DWH,1, PFA_ruspCollectionReport,0
PFA,Detailed Report.rdl, EBPM_DWH,14, PFA_ruspDetailedReport PFA_ruspGetRegion PFA_ruspGetSite PFA_ruspGetCompany PFA_ruspGetMepCode PFA_ruspGetBU PFA_ruspGetProject PFA_ruspGetPaidBy PFA_ruspGetStage PFA_ruspGetStatus PFA_ruspGetQueue PFA_ruspPFAType PFA_ruspGetBusinessPartner uspGetReportHeaderImage,0
PFA,Granted Roles.rdl, EBPM_DWH,1, PFA_ruspGrantedRoles,0
PFA,Pending Queues By User Report.rdl, EBPM_DWH,1, PFA_ruspPendingQueuesByUserReport,0
PFA,PFA_ruspGetRoles.rsd,,1, PFA_ruspGetRoles,0
PFA,Summary Report By Month.rdl, EBPM_DWH,1, PFA_ruspSummaryReportByMonth,0
PFA,Summary Report by Owner.rdl, EBPM_DWH,1, PFA_ruspSummaryReportByOwner,0
PFA,Summary Report By Project.rdl, EBPM_DWH,1, PFA_ruspSummaryReportByProject,0
PFA,User Report.rdl, EBPM_DWH,1, PFA_ruspUserReport,0
